n,Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom,Burn,Cattle_head,Goat_head,Sheep_head,LSU_head,Ligcell,W_kg,Days,npastures,d_headha,Gdays,ANPPmax_gm2,Sk_gm2,Ddays,Edays,S0_gm2,Fdays,Cg_gheadday,Se_gm2,g_ggday,Lg_gm2,Sg_gm2,Sf_gm2,Lo_gm2,ANPPt_est,BNPPt_est,PDSOCt,DDSOCt,SOCeq_gm2,SOCeq_tha
20,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3727714121393, -30.8805388986739)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.9628931917456,825.5143257686062,189.12199999999996,0,82.55143257686063,0,20091.504798213347,82.55143257686063,0.011951865683167091,186.5960173704658,633.3851065751475,633.3851065751475,86.76445454014552,1138.9241046621332,375.17794588256515,118.45851238217438,11.071099112379757,7135.139834049967,71.35139834049967
21,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3712172812025, -30.8797618332055)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,743.0048819391709,825.5609799324121,189.12199999999996,0,82.55609799324122,0,20091.504798213347,82.55609799324122,0.011951190258440242,186.5960173704658,633.4321500848613,633.4321500848613,86.76445454014552,1138.971148171847,375.1722397299543,118.4623473322771,11.071099112379757,7135.656343946507,71.35656343946508
22,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.36,0.36,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719943466709, -30.8797618332055)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,743.0888594340214,825.6542882600238,189.12199999999996,0,82.56542882600239,0,20091.504798213347,82.56542882600239,0.01194983963797858,186.5960173704658,633.5262368389302,633.5262368389302,86.76445454014552,1139.065234925916,375.1608292719149,118.4700174967125,11.071099112379757,7136.6895109076095,71.3668951090761
1,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.51,0.51,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3368944165445, -30.8697224355161)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.00759999999994,739.5520768342809,821.7245298158676,188.00759999999994,0,82.17245298158677,0,20091.504798213347,82.17245298158677,0.01200698772291427,185.49650170461175,630.4239177623875,630.4239177623875,87.31421237307254,1135.9629158493733,376.3808207173166,118.32234163344633,11.048833920146214,7246.947108622893,72.46947108622894
2,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.52,0.52,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3376714413284, -30.8697224355161)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.00759999999994,739.5102524854864,821.678058317207,188.00759999999994,0,82.16780583172071,0,20091.504798213347,82.16780583172071,0.012007666799966694,185.49650170461175,630.3770387162407,630.3770387162407,87.31421237307254,1135.9160368032265,376.38657421516103,118.31853068907057,11.048833920146214,7246.423790185817,72.46423790185817
3,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3384484661122, -30.8697224355161)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.00759999999994,739.8448472758425,822.0498303064917,188.00759999999994,0,82.20498303064917,0,20091.504798213347,82.20498303064917,0.012002236333335218,185.49650170461175,630.7520684940954,630.7520684940954,87.31421237307254,1136.2910665810812,376.34056358829184,118.34902071688177,11.048833920146214,7250.611729831553,72.50611729831553
4,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3392254908961, -30.8697224355161)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.00759999999994,739.7611985782535,821.9568873091705,188.00759999999994,0,82.19568873091706,0,20091.504798213347,82.19568873091706,0.012003593489454475,185.49650170461175,630.658311604643,630.658311604643,87.31421237307254,1136.1973096916288,376.3520625268521,118.34139768016624,11.048833920146214,7249.564446545603,72.49564446545602
6,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.51,0.51,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3368944165445, -30.8689454107323)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.00759999999994,739.5520768342809,821.7245298158676,188.00759999999994,0,82.17245298158677,0,20091.504798213347,82.17245298158677,0.01200698772291427,185.49650170461175,630.4239177623875,630.4239177623875,87.31421237307254,1135.9629158493733,376.3808207173166,118.32234163344633,11.048833920146214,7246.947108622893,72.46947108622894
7,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.51,0.51,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3376714413284, -30.8689454107323)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.00759999999994,739.5520768342809,821.7245298158676,188.00759999999994,0,82.17245298158677,0,20091.504798213347,82.17245298158677,0.01200698772291427,185.49650170461175,630.4239177623875,630.4239177623875,87.31421237307254,1135.9629158493733,376.3808207173166,118.32234163344633,11.048833920146214,7246.947108622893,72.46947108622894
8,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.51,0.51,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3384484661122, -30.8689454107323)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.00759999999994,739.5520768342809,821.7245298158676,188.00759999999994,0,82.17245298158677,0,20091.504798213347,82.17245298158677,0.01200698772291427,185.49650170461175,630.4239177623875,630.4239177623875,87.31421237307254,1135.9629158493733,376.3808207173166,118.32234163344633,11.048833920146214,7246.947108622893,72.46947108622894
9,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.49,0.49,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3392254908961, -30.8689454107323)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.00759999999994,739.6357255318699,821.8174728131887,188.00759999999994,0,82.18174728131888,0,20091.504798213347,82.18174728131888,0.012005629799208968,185.49650170461175,630.517675576904,630.517675576904,87.31421237307254,1136.0566736638898,376.3693155816679,118.32996378720334,11.048833920146214,7247.993894627463,72.47993894627463
12,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.5,0.5,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3376714413284, -30.8681683859485)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.00759999999994,739.5939011830754,821.7710013145282,188.00759999999994,0,82.17710013145283,0,20091.504798213347,82.17710013145283,0.012006308722666038,185.49650170461175,630.4707967159331,630.4707967159331,87.31421237307254,1136.009794802919,376.37506783951767,118.32615266616142,11.048833920146214,7247.470476768218,72.47470476768218
