Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom,Burn,Cattle_head,Goat_head,Sheep_head,LSU_head,Ligcell,W_kg,Days,npastures,d_headha,Gdays,ANPPmax_gm2,Sk_gm2,Ddays,Edays,S0_gm2,Fdays,Cg_gheadday,Se_gm2,g_ggday,Lg_gm2,Sg_gm2,Sf_gm2,Lo_gm2,ANPPt_est,BNPPt_est,PDSOCt,DDSOCt,SOCeq_gm2,SOCeq_tha
TSTABTL004,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.43,0.43,774,15.4,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4026, -30.9175166666667)",0.17667757931932349,2829.8862468235834,1361.1959183411977,934.667743960223,3059.4726130537256,0.3,475,365,1,0.46150128394548046,187.61759999999998,760.7324666012211,845.2582962235789,187.61759999999998,0,84.52582962235789,0,20091.504798213347,84.52582962235789,0.010969729965619459,173.9638278613462,666.3007747863567,666.3007747863567,82.2367445784203,1171.4440240840408,379.79581809338293,129.30594436348088,10.376123183810543,7646.58806458141,76.46588064581411
TSTABTL005,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.48,0.48,783,15.3,38.140625,16.54329490661621,13.342466354370115,"c(28.44591667, -30.91723333)",0.17667757931932349,3683.2382246457364,1597.585151308767,1288.481300122,3971.844869788813,0.3,475,365,1,0.5991266269941337,188.86139999999997,764.0798577364133,848.9776197071258,188.86139999999997,0,84.89776197071258,0,20091.504798213347,84.89776197071258,0.014178648790697895,227.33918122146756,612.9180644771159,612.9180644771159,106.01214728233403,1118.0613137748,360.35730259053827,118.98966807254045,13.500728804403964,7114.3510401765525,71.14351040176552
TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4123333333333, -30.92465)",0.17667757931932349,2829.8862468235834,1361.1959183411977,934.667743960223,3059.4726130537256,0.3,475,365,1,0.46150128394548046,188.4234,759.9143638676155,844.3492931862395,188.4234,0,84.43492931862396,0,20091.504798213347,84.43492931862396,0.010981539672737127,174.71098619025923,664.792835056983,664.792835056983,81.8631654139638,1169.936084354667,379.0800463451092,129.0463664206017,10.391253139971035,7567.6126398849365,75.67612639884936
TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.44176667, -30.8791)",0.17667757931932349,3799.667079144698,1841.6360580384687,1552.531650918885,4139.083850040433,0.3,475,365,1,0.6243535251799682,190.07099999999997,752.0182562208488,835.5758402453876,190.07099999999997,0,83.55758402453876,0,20091.504798213347,83.55758402453876,0.01501264306930037,238.42889892487347,587.528465500741,587.528465500741,109.71723424412245,1092.671714798425,355.84015307826166,115.25029302357659,14.099918393344334,6961.720328667359,69.6172032866736
TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.38127744189, -30.8773178951881)",0.17667757931932349,3527.792965132112,1886.9395077334575,1615.8653420127487,3878.0734501067327,0.3,475,365,1,0.5849818262215991,190.34539999999998,739.5703327247717,821.7448141386352,190.34539999999998,0,82.17448141386353,0,20091.504798213347,82.17448141386353,0.014302694664059064,223.71609252449488,589.8313711800762,589.8313711800762,102.63721806103183,1094.9746204777603,361.1164696396926,116.7307441398074,13.217309078713834,7081.536724783898,70.81536724783898
TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.37,0.37,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.39105, -30.91688333)",0.17667757931932349,2829.8862468235834,1361.1959183411977,934.667743960223,3059.4726130537256,0.3,475,365,1,0.46150128394548046,186.86599999999999,762.3365019655511,847.0405577395012,186.86599999999999,0,84.70405577395013,0,20091.504798213347,84.70405577395013,0.010946648511751464,173.26692515594655,668.643382109902,668.643382109902,82.58519593112013,1173.786631407586,380.4000731546787,129.6421269612433,10.362010904026201,7718.5404097017245,77.18540409701724
TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.46035, -30.90818333)",0.17667757931932349,3799.667079144698,1841.6360580384687,1552.531650918885,4139.083850040433,0.3,475,365,1,0.6243535251799682,190.58199999999997,756.5343065227864,840.5936739142071,190.58199999999997,0,84.05936739142072,0,20091.504798213347,84.05936739142071,0.014923026708639067,239.0699076392518,592.1762485753576,592.1762485753576,109.39672988693329,1097.3194978730417,355.2877315143775,115.69769266242275,14.112898819810496,6898.336636173308,68.98336636173308
TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.43,0.43,775,15.4,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.43321667, -30.88885)",0.17667757931932349,3799.667079144698,1841.6360580384687,1552.531650918885,4139.083850040433,0.3,475,365,1,0.6243535251799682,187.69059999999996,761.4380305072805,846.0422561192005,187.69059999999996,0,84.60422561192006,0,20091.504798213347,84.60422561192006,0.014826921180598068,235.44287711722907,600.3830363004347,600.3830363004347,111.21024514794465,1105.5262855981186,358.1069646349306,116.95310946945791,14.039451451739534,7158.167141953488,71.58167141953487
TSTABTL014,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,774,15.5,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.43071667, -30.90175)",0.17667757931932349,3799.667079144698,1841.6360580384687,1552.531650918885,4139.083850040433,0.3,475,365,1,0.6243535251799682,187.012,763.3224206005058,848.1360228894508,187.012,0,84.81360228894509,0,20091.504798213347,84.81360228894509,0.014790318425809638,234.59162757989617,603.1290900982483,603.1290900982483,111.63586991661113,1108.2723393959322,358.7359558268705,117.33374163330502,14.022213648608545,7212.877870602313,72.12877870602313
TSTABTL015,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.48,0.48,774,15.4,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3989, -30.9193166666667)",0.17667757931932349,2829.8862468235834,1361.1959183411977,934.667743960223,3059.4726130537256,0.3,475,365,1,0.46150128394548046,187.61759999999998,760.5174529968228,845.019392218692,187.61759999999998,0,84.50193922186921,0,20091.504798213347,84.50193922186921,0.010972831329263235,173.9638278613462,666.060393670209,666.0603936702089,82.2367445784203,1171.2036429678928,379.8252376264145,129.28385993300495,10.376123183810543,7643.744384036951,76.43744384036951
