n,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom,Burn,Cattle_head,Goat_head,Sheep_head,LSU_head,Ligcell,W_kg,Days,npastures,d_headha,Gdays,ANPPmax_gm2,Sk_gm2,Ddays,Edays,S0_gm2,Fdays,Cg_gheadday,Se_gm2,g_ggday,Lg_gm2,Sg_gm2,Sf_gm2,Lo_gm2,ANPPt_est,BNPPt_est,PDSOCt,DDSOCt,SOCeq_gm2,SOCeq_tha
24,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.41,0.41,750,14.8,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.2944436920512, -30.8836058418926)",0.254642860254362,2123.8131877409523,938.9853090777692,813.1750142737015,2299.0292200760996,0.3,475,365,1,0.5075110647518959,189.1044,727.7637126820463,808.6263474244959,189.1044,0,80.86263474244959,0,20091.504798213347,80.86263474244959,0.012609855002976116,192.82334590107445,609.6662073822092,609.6662073822092,89.67739016457848,NA,NA,NA,11.441279810658946,NA,NA
25,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,762,14.9,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3792087633134, -30.8551949706445)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.4876,738.8733710765512,820.970412307279,189.4876,0,82.09704123072791,0,20091.504798213347,82.09704123072792,0.01201801696286192,186.95673428309706,628.5184463086617,628.5184463086617,86.58409608382989,NA,NA,NA,11.078403629860542,NA,NA
26,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.39,0.39,757,13.9,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.2970378721466, -30.8715387361255)",0.254642860254362,2123.8131877409523,938.9853090777692,813.1750142737015,2299.0292200760996,0.3,475,365,1,0.5075110647518959,193.20459999999997,709.0211360580774,787.8012622867527,193.20459999999997,0,78.78012622867527,0,20091.504798213347,78.78012622867527,0.012943189457466985,197.00418084126403,585.3233975075973,585.3233975075973,87.58697269448373,NA,NA,NA,11.525941718197785,NA,NA
27,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,768,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719652699188, -30.9032386419478)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.88359999999994,748.3425852311888,831.4917613679875,188.88359999999994,0,83.14917613679876,0,20091.504798213347,83.14917613679876,0.011865946001538438,186.36080152809356,639.5971801070629,639.5971801070629,86.88206246133163,NA,NA,NA,11.066335991571723,NA,NA
28,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.49,0.49,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3565721827912, -30.9050046532933)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,186.136,754.7212270044388,838.579141116043,186.136,0,83.85791411160432,0,20091.504798213347,83.85791411160432,0.011765659145761297,183.64989947900844,648.8500576250291,648.8500576250291,88.2375134858742,NA,NA,NA,11.011440225077747,NA,NA
29,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,757,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3454932297226, -30.8777556244295)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,186.96339999999998,745.8607581044382,828.734175671598,186.96339999999998,0,82.8734175671598,0,20091.504798213347,82.8734175671598,0.011905429546357205,184.4662484218724,638.2928465384566,638.2928465384566,87.82933901444221,NA,NA,NA,11.02797129117074,NA,NA
30,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,758,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3532382252038, -30.8865183438713)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,185.844,752.0446164276635,835.6051293640705,185.844,0,83.56051293640706,0,20091.504798213347,83.56051293640708,0.011807534437498464,183.36179953784782,646.0706953204273,646.0706953204273,88.3815634564545,NA,NA,NA,11.005606201269243,NA,NA
31,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.45,0.45,783,13.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3968390522666, -30.8568224737479)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,196.20899999999995,715.5958488277602,795.1064986975113,196.20899999999995,0,79.51064986975113,0,20091.504798213347,79.51064986975113,0.012408949439199832,193.58836080541514,597.061576632158,597.061576632158,83.26828282267084,NA,NA,NA,11.212694066937482,NA,NA
32,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.699999988079071,0.41,0.41,760,14,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.301584704908, -30.8755892059825)",0.254642860254362,2123.8131877409523,938.9853090777692,813.1750142737015,2299.0292200760996,0.3,475,365,1,0.5075110647518959,193.09999999999997,713.5660500544609,792.8511667271788,193.09999999999997,0,79.28511667271789,0,20091.504798213347,79.28511667271789,0.012860750441599294,196.89752376728134,590.5103626253597,590.5103626253597,87.64030123147508,NA,NA,NA,11.523781912449635,NA,NA
33,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,762,15.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3664278042443, -30.8822328775742)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,187.8964,746.7637526516764,829.7375029463071,187.8964,0,82.97375029463072,0,20091.504798213347,82.97375029463073,0.011891033376317193,185.38678693249858,638.591329775451,638.591329775451,87.3690697591291,NA,NA,NA,11.046612196010921,NA,NA
34,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.48,0.48,754,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3643576514598, -30.8576851761571)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,186.74439999999998,743.6531679607959,826.2812977342177,186.74439999999998,0,82.62812977342178,0,20091.504798213347,82.62812977342178,0.011940771705921232,184.25017346600194,635.9846970701698,635.9846970701698,87.93737649237744,NA,NA,NA,11.023595773314364,NA,NA
35,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,772,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3836199345686, -30.9141252690508)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,190.7104,742.9027815286056,825.447535031784,190.7104,0,82.54475350317841,0,20091.504798213347,82.54475350317841,0.01195283276330423,188.16320211888882,632.0730477218783,632.0730477218783,85.98086216593401,NA,NA,NA,11.102834603535324,NA,NA
36,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.4000000059604645,0.41,0.41,761,14.4,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3687626075941, -30.8368733443494)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,191.6906,724.763347651856,805.2926085020622,191.6906,0,80.52926085020623,0,20091.504798213347,80.52926085020623,0.012251989198645872,189.13031020904504,610.9759477480425,610.9759477480425,85.49730812085589,NA,NA,NA,11.122418542360988,NA,NA
37,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,771,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3702181461364, -30.9201295693075)",0.254642860254362,1623.303693593391,780.8209126524879,536.1521519659225,1755.001000055232,0.3,475,365,1,0.38741674894814543,188.55339999999998,753.0860510071035,836.7622788967816,188.55339999999998,0,83.67622788967816,0,20091.504798213347,83.67622788967816,0.009302266207150627,146.76592153144966,686.5098754709303,686.5098754709303,68.67112406907297,NA,NA,NA,8.725200346821168,NA,NA
38,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.5,0.43,0.43,767,14.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3373112497378, -30.8967227545557)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,192.9074,723.4728107337805,803.8586785930895,192.9074,0,80.38586785930896,0,20091.504798213347,80.38586785930896,0.01227384440059144,190.33085818303212,608.5609225023204,608.5609225023204,84.89703413386236,NA,NA,NA,11.146729638834227,NA,NA
39,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.5,0.39,0.39,767,14.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3408666785317, -30.8990422408434)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,192.9074,723.6363967549372,804.0404408388191,192.9074,0,80.40404408388191,0,20091.504798213347,80.40404408388191,0.012271069762142085,190.33085818303212,608.7442036679824,608.7442036679824,84.89703413386236,NA,NA,NA,11.146729638834227,NA,NA
40,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.35,0.35,765,14.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3800075190056, -30.8494886297723)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,192.3814,725.0899055726572,805.6554506362858,192.3814,0,80.56554506362858,0,20091.504798213347,80.56554506362858,0.012246471284125702,189.8118836314894,610.7929252208774,610.7929252208774,85.15652140963371,NA,NA,NA,11.136220404165487,NA,NA
41,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.20000000298023224,0.4,0.4,758,15.3,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3301371130965, -30.9085651677753)",0.254642860254362,2123.8131877409523,938.9853090777692,813.1750142737015,2299.0292200760996,0.3,475,365,1,0.5075110647518959,187.0364,746.8213162095282,829.8014624550312,187.0364,0,82.98014624550314,0,20091.504798213347,82.98014624550314,0.012288073055983147,190.7146764078029,632.6812750247408,632.6812750247409,90.73172491121429,NA,NA,NA,11.398579253420198,NA,NA
42,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.4,0.4,765,14.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3806592482459, -30.8464458549284)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,192.3814,724.8850586269264,805.4278429188071,192.3814,0,80.54278429188071,0,20091.504798213347,80.54278429188071,0.012249932042777956,189.8118836314894,610.5634026542178,610.5634026542178,85.15652140963371,NA,NA,NA,11.136220404165487,NA,NA
43,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3691990314233, -30.8809376602128)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.8369269494698,825.3743632771886,189.12199999999996,0,82.53743632771886,0,20091.504798213347,82.53743632771886,0.011953892415487034,186.5960173704658,633.2439755149779,633.2439755149779,86.76445454014552,NA,NA,NA,11.071099112379757,NA,NA
44,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,757,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3466927686443, -30.879923352208)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,186.96339999999998,745.9029273079043,828.7810303421159,186.96339999999998,0,82.87810303421159,0,20091.504798213347,82.87810303421159,0.011904756479577987,184.4662484218724,638.3401098641642,638.3401098641642,87.82933901444221,NA,NA,NA,11.02797129117074,NA,NA
