Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
TSTABTL016,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.44,0.44,775,15.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.40065, -30.91261667)"
TSTALSX001,TSTALSX,Lower Sinxaku,Tsitsa,1094.6336102649857,0.5675823774384452,621.2947469382291,0.016071428877434568,0,0.51,0.51,735,17,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6394024623215, -31.1066385923048)"
TSTAUSX001,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0.10000000149011612,0.51,0.51,731,17,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6106885748243, -31.1058746083804)"
TSTAUSX002,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0,0.51,0.51,752,16.6,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6079616626037, -31.1372235221258)"
TSTAUSX003,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0,0.54,0.54,757,16.5,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6100020890679, -31.1257683534175)"
TSTAUSX004,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0,0.46,0.46,745,16.7,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6030784837299, -31.1199782525292)"
TSTAUSX005,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0,0.46,0.46,733,17,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6086187882667, -31.0921365569576)"
TSTAUSX006,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0.10000000149011612,0.52,0.52,747,16.7,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6112203270987, -31.1105195683259)"
TSTAKMG001,TSTAKMG,KuMagwaca,Tsitsa,2106.989365462461,0.6920186724353865,1458.0759835228098,0.13909774721789178,0,0.38,0.38,802,14.4,41.338592529296875,19.336162567138672,18.392536163330078,"c(28.5336333333333, -30.91645)"
TSTAKMG002,TSTAKMG,KuMagwaca,Tsitsa,2106.989365462461,0.6920186724353865,1458.0759835228098,0.13909774721789178,0.10000000149011612,0.4,0.4,794,14.7,41.338592529296875,19.336162567138672,18.392536163330078,"c(28.5264166666667, -30.8947166666667)"
