n,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
38,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.5,0.43,0.43,767,14.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3373112497378, -30.8967227545557)"
39,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.5,0.39,0.39,767,14.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3408666785317, -30.8990422408434)"
40,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.35,0.35,765,14.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3800075190056, -30.8494886297723)"
41,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.20000000298023224,0.4,0.4,758,15.3,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3301371130965, -30.9085651677753)"
42,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.4,0.4,765,14.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3806592482459, -30.8464458549284)"
43,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3691990314233, -30.8809376602128)"
44,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,757,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3466927686443, -30.879923352208)"
45,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.699999988079071,0.38,0.38,769,13.5,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3140519143336, -30.8797368679778)"
46,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,758,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3515733143087, -30.8913521283994)"
47,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,762,14.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3710142928871, -30.8440349998014)"
48,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,766,15.4,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.365539760321, -30.9039676155414)"
